id	Sentença	Posição da palavra alvo	Palavra alvo	Classe	Obra	Autor	Ano	Movimento	tamanho sentença
177	Levantou ao céu os olhos banhados em lágrimas, e jurou pela alma da infeliz mulata encarregar-se do futuro de Isaura, criá-la e educá-la, como se fosse uma filha.	15	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	32
185	Era sempre alegre e boa com os escravos, dócil e submissa com os senhores.	7	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	16
186	O comendador não gostava nada do singular capricho de sua esposa para com a mulatinha, capricho que qualificava de caduquice.	14	mulatinha	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	22
190	As velhas, umas dão para rezar, outras para ralhar desde a manhã até à noite, outras para lavar cachorrinhos ou para criar pintos; esta deu para criar mulatinhas princesas.	31	mulatinhas	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	34
202	— Uma tão boa e interessante criatura não nasceu para ser escrava.	11	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
214	De feito, a boa velha tentou por diversas vezes escrever seu testamento a fim de garantir o futuro de sua escravinha, de sua querida pupila;	21	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	28
216	Malvina jurou sobre o cadáver de sua sogra continuar para com a infeliz escrava a mesma proteção e solicitude que a defunta lhe havia prodigalizado.	13	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	26
217	Isaura pranteou por muito tempo a morte daquela que havia sido para ela mãe desvelada e carinhosa; e continuou a ser escrava não já de uma boa e virtuosa senhora, mas de senhores caprichosos, devassos e cruéis.	22	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	41
217	Isaura pranteou por muito tempo a morte daquela que havia sido para ela mãe desvelada e carinhosa; e continuou a ser escrava não já de uma boa e virtuosa senhora, mas de senhores caprichosos, devassos e cruéis.	30	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	41
232	Esta conversação não agradava muito a Henrique, que às vezes corava de pejo e de indignação por sua irmã, mas não deixou de excitar-lhe viva curiosidade de conhecer uma escrava de tão extraordinária beleza.	31	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	37
237	— Uma escrava desta ordem não é um tesouro inapreciável?	2	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	11
247	Vê lá, Henrique, se há nada que pague uma escrava assim?	11	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
249	Mas devo notar-te, Leôncio, — continuou, cravando no cunhado um olhar cheio de maliciosa penetração, — como teu amigo e como irmão de tua mulher, que o teres em tua sala e ao lado de minha irmã uma escrava tão linda e tão bem tratada não deixa de ser inconveniente e talvez perigoso para a tranqüilidade doméstica...	43	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	63
283	— Que me quer, senhor?	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
288	Por fim Henrique, afoito, e estouvado como era, lembrando-se que Isaura, a despeito de toda a sua formosura, não passava de uma escrava, entendeu que fazia um ridículo papel, deixando-se ali ficar diante dela em muda e extática contemplação, e chegando-se a ela com todo o desembaraço e petulância travou-lhe da mão, e... — Mulatinha, disse, — tu não fazes idéia de quanto és feiticeira.	27	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	78
290	é pena que uma menina assim tão linda não seja mais que uma escrava.	13	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	15
292	— Está bem, senhor, está bem!	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	9
299	És muito mimosa e muito linda para ficares por muito tempo no cativeiro; alguém impreterivelmente virá arrancar-te dele, e se hás de cair nas mãos de algum desconhecido, que não saberá dar-te o devido apreço, seja eu, minha Isaura, seja o irmão de tua senhora, que de escrava te haja de fazer uma princesa...	54	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	62
299	És muito mimosa e muito linda para ficares por muito tempo no cativeiro; alguém impreterivelmente virá arrancar-te dele, e se hás de cair nas mãos de algum desconhecido, que não saberá dar-te o devido apreço, seja eu, minha Isaura, seja o irmão de tua senhora, que de escrava te haja de fazer uma princesa...	50	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	62
301	senhor Henrique!	0	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	3
302	retorquiu a menina com enfado; — o senhor não se peja de dirigir esses galanteios a uma escrava de sua irmã?	18	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	23
302	retorquiu a menina com enfado; — o senhor não se peja de dirigir esses galanteios a uma escrava de sua irmã?	8	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	23
303	isso não lhe fica bem; há por aí tanta moça bonita, a quem o senhor pode fazer a corte...	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	22
306	Além da liberdade terás tudo o que desejares, sedas, jóias, carros, escravos para te servirem, e acharás em mim um amante extremoso, que sempre te há de querer, e nunca te trocará por quanta moça há por esse mundo, por bonita e rica que seja, porque tu só vales mais que todas elas juntas.	15	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	64
309	Nada, meu senhor; guarde suas grandezas para quem melhor as merecer;	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
320	— Se o senhor continua, eu grito mais alto.	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	11
326	tem até os ares desdenhosos de uma grande senhora!	8	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
328	— Arre lá, senhor! — bradou a escrava já no auge da impaciência.	9	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	16
328	— Arre lá, senhor! — bradou a escrava já no auge da impaciência.	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	16
329	— Já não bastava o senhor Leôncio! agora vem o senhor também...	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
329	— Já não bastava o senhor Leôncio! agora vem o senhor também...	11	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
336	— Tanto como escuto ao senhor.	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
337	— Não duvido Isaura; a lealdade, que deves a tua senhora, que tanto te estima, não te permite que dês ouvidos àquele perverso.	12	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	28
341	Ora, senhor, pelo amor de Deus!	2	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	9
353	muito bem, senhor meu cunhado!	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
356	requestando-me as escravas!	2	escravas	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	4
371	— O mesmo que o senhor acaba de ouvir, — redargüiu Henrique com firmeza, — e fique certo que o seu indigno procedimento não há de ficar por muito tempo oculto à minha irmã.	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	37
376	enfim, adeus, senhor Leôncio: eu me retiro, porque seria altamente inconveniente, indigno e ridículo da minha parte estar a disputar com o senhor por amor de uma escrava.	32	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	34
376	enfim, adeus, senhor Leôncio: eu me retiro, porque seria altamente inconveniente, indigno e ridículo da minha parte estar a disputar com o senhor por amor de uma escrava.	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	34
376	enfim, adeus, senhor Leôncio: eu me retiro, porque seria altamente inconveniente, indigno e ridículo da minha parte estar a disputar com o senhor por amor de uma escrava.	27	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	34
378	— Não, não; não tenho negócio nenhum com o senhor.	11	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
385	Bem pouco lhe importava a perturbação da paz doméstica, o que o enfurecia era o perigo em que se colocara de ver desconcertados os seus perversos desígnios sobre a gentil escrava.	31	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	33
397	fizeste bem, — disse Leôncio mal avistou Isaura, que trêmula e confusa não ousara sair do cantinho, a que se abrigara, e onde fazia mil votos ao céu para que seu senhor não a visse, nem se lembrasse dela naquele momento.	35	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	47
400	— Tanto como ouço as suas, meu senhor, por não ter outro remédio.	8	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	16
401	Uma escrava, que ousasse olhar com amor para seus senhores, merecia ser severamente castigada.	1	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	17
404	— respondeu a escrava perturbando-se; — eu, nada que possa ofender nem ao senhor nem a ele...	3	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
404	— respondeu a escrava perturbando-se; — eu, nada que possa ofender nem ao senhor nem a ele...	15	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
415	— Perdão, senhor, que culpa tenho eu de andarem a perseguir-me?	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
418	— Para quê, senhor...	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	6
427	— exclamou tristemente dentro da alma a rapariga, vendo seu senhor retirar-se.	11	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
429	Resolvida a resistir até à morte, lembrava-se da sorte de sua infeliz mãe, cuja triste história bem conhecia, pois a tinha ouvido, segredada a medo e misteriosamente, da boca de alguns velhos escravos da casa, e o futuro se lhe antolhava carregado das mais negras e sinistras cores.	50	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	55
429	Resolvida a resistir até à morte, lembrava-se da sorte de sua infeliz mãe, cuja triste história bem conhecia, pois a tinha ouvido, segredada a medo e misteriosamente, da boca de alguns velhos escravos da casa, e o futuro se lhe antolhava carregado das mais negras e sinistras cores.	37	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	55
431	Mas Isaura amava muito sua jovem senhora para ousar dar semelhante passo, que iria derramar-lhe no seio um pego de desgostos e amarguras, quebrando-lhe para sempre a risonha e doce ilusão em que vivia.	6	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	37
432	Preferia antes morrer como sua mãe, vítima das mais cruéis sevícias, do que ir por suas mãos lançar uma nuvem sinistra no céu até ali tão sereno e bonançoso de sua querida senhora.	34	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	36
438	Com quanto mais dó não a teria lastimado sua boa e sensível senhora, se pudesse adivinhar a verdadeira causa dos pesares que o ralavam.	12	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	26
447	Isaura teria soltado um grito de pavor, se há muito não estivesse familiarizada com aquela estranha figura, pois era ele, sem mais nem menos, o senhor Belchior, fiel e excelente ilhéu, que há muitos anos exercia naquela fazenda mui digna e conscienciosamente, apesar de sua deformidade e idiotismo, o cargo de jardineiro.	29	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	61
457	— Muito bem aparecido, senhor Belchior!	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	8
462	eu senhora! também o senhor pretende caçoar comigo, senhor Belchior?	1	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
462	eu senhora! também o senhor pretende caçoar comigo, senhor Belchior?	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
462	eu senhora! também o senhor pretende caçoar comigo, senhor Belchior?	10	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
463	Eu caçoar com a senhora!	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	6
465	minha língua seja comida de bichos, se eu faltar com o respeito devido à senhora...	15	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	17
466	Vinha trazer-lhe estas froles, se bem que a senhora mesma é uma frol...	9	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	15
467	— Arre lá, senhor Belchior!	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
468	sempre a dar-me de senhora! se continua por essa forma, ficamos mal, e não aceito as suas froles...	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	22
469	Eu sou Isaura, escrava da senhora D. Malvina;	4	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
469	Eu sou Isaura, escrava da senhora D. Malvina;	6	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
470	ouviu, senhor Belchior!	2	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	5
476	Se me quiseres, como eu te quero, arranjote a liberdade, e caso-me contigo, que também não és para andar aí assim como escrava de ninguém.	26	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	30
478	mas perde seu tempo, senhor Belchior.	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	8
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	11	escravo	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	30
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	14	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	30
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	22	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	30
495	senhor Belchior!	0	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	3
537	Olá, senhor Belchior, está bonito!	2	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	8
539	mas para tratar dessa flor não precisamos de seus cuidados, não; tem entendido, senhor Belchior! —	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
540	Perdão, senhor meu, — balbuciou o jardineiro erguendo-se trêmulo e confuso;	2	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
556	Os escravos ficaram pasmos, quando à hora do almoço Leôncio achou-se sozinho à mesa.	1	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	16
596	— Quero dizer-lhe, — exclamou a moça em tom severo, e fazendo vãos esforços para dar ao seu lindo e mavioso semblante um ar feroz, — quero dizer-lhe que o senhor me insulta e me atraiçoa em sua casa, da maneira a mais indigna e desleal... — Santo Deus!	33	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	55
599	— Debalde, que o senhor se finge surpreendido;	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
601	Eu já devia ter pressentido esse seu vergonhoso procedimento; há muito que o senhor não é o mesmo para comigo, e me trata com tal frieza e indiferença...	14	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	31
609	deixe-me, senhor! que infâmia!	2	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
612	— Não tenho que explicar; o senhor bem me entende.	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	12
615	— Dê um destino qualquer a essa escrava, a cujos pés o senhor costuma vilmente prostrar-se: liberte-a, venda-a, faça o que quiser.	7	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	27
615	— Dê um destino qualquer a essa escrava, a cujos pés o senhor costuma vilmente prostrar-se: liberte-a, venda-a, faça o que quiser.	13	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	27
625	— Que miserável desculpa, senhor!	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
626	seu pai já lhe entregou escravos e fazenda, e dará por bem feito tudo quanto o senhor fizer.	5	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
626	seu pai já lhe entregou escravos e fazenda, e dará por bem feito tudo quanto o senhor fizer.	17	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
627	Mas se acaso o senhor a prefere a mim... — Malvina!	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	13
634	— O que lhe dizia eu, senhor Leôncio?	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
639	— Alto lá, senhor!	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	6
640	para impedir que o senhor não transportasse o seu traste de luxo do salão para a alcova, percebe?	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
663	— V. S.a sem dúvida é o senhor Leôncio?	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
666	é com V. S. que tenho de tratar na falta do senhor seu pai.	11	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	15
667	O meu negócio é simples, e julgo que o posso declarar em presença aqui do senhor e da senhora, que me parecem ser pessoas de casa.	19	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	29
667	O meu negócio é simples, e julgo que o posso declarar em presença aqui do senhor e da senhora, que me parecem ser pessoas de casa.	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	29
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	55	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	62
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	62
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	46	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	62
672	— Pelo que vejo, — disse por fim, — o senhor deve ser o pai...	12	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	18
673	aquele que dizem ser o pai da dita escrava.	8	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	10
674	— é o senhor.	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	5
675	— não me lembra o nome.. — Miguel, um criado de V. S.a — É verdade; o senhor Miguel.	11	criado	criado	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	23
675	— não me lembra o nome.. — Miguel, um criado de V. S.a — É verdade; o senhor Miguel.	20	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	23
686	Miguel concebeu amargo ressentimento e mágoa profunda, não tanto por si, como por amor das duas infelizes criaturas, que não podia proteger contra a sanha de um senhor perverso e brutal.	30	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	35
693	De feito o céu tinha dado à sua filha na pessoa de sua senhora uma segunda mãe tão boa e desvelada, como poderia ser a primeira, e que mais do que esta lhe podia servir de amparo e proteção.	13	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	42
694	A morte inesperada daquela virtuosa senhora veio despedaçar-lhe o coração, quebrando-lhe todas as suas lisonjeiras esperanças.	5	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	18
698	há de ser sempre minha, — respondia com orgulhoso cinismo o inexorável senhor ao infeliz e aflito pai.	13	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
720	— Alto lá, senhor Miguel!	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
722	— Embora, senhor; tenha a bondade de guardar esse dinheiro e enviá-lo ao senhor seu pai, rogando-lhe da minha parte o favor de cumprir a promessa que me fez de dar liberdade a Isaura mediante essa quantia.	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	41
722	— Embora, senhor; tenha a bondade de guardar esse dinheiro e enviá-lo ao senhor seu pai, rogando-lhe da minha parte o favor de cumprir a promessa que me fez de dar liberdade a Isaura mediante essa quantia.	15	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	41
755	mas se minha sorte depender somente daquele homem, serei para sempre escrava.	12	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
784	Na fazenda de Leôncio havia um grande salão toscamente construído, sem forro nem soalho, destinado ao trabalho das escravas que se ocupavam em fiar e tecer lã e algodão.	20	escravas	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	32
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	5	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	26
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	7	crioulas	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	26
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	9	mulatas	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	26
