id	Sentença	Janela	Posição da palavra alvo	Palavra alvo	Classe	Obra	Autor	Ano	Movimento	tamanho janela
164	Este, que como homem libidinoso e sem escrúpulos olhava as escravas como um serralho à sua disposição, lançou olhos cobiçosos e ardentes de lascívia sobre a gentil mucama.	escrúpulos olhava as escravas como um serralho	11	escravas	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
168	Acabrunhado por ela das mais violentas e amargas exprobrações, o comendador não ousou mais empregar a violência contra a pobre escrava, e nem tampouco conseguiu jamais por outro qualquer meio superar a invencível repugnância que lhe inspirava.	contra a pobre escrava , e nem	21	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	pelos encantos da mulata , em vez	33	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	algum tempo a mulata deu à luz	57	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	vida a gentil escravinha , de que	65	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
173	Expeliu com impropérios e ameaças o bom e fiel feitor, e sujeitou a mulata a tão rudes trabalhos e tão cruel tratamento, que em breve a precipitou no túmulo, antes que pudesse acabar de criar sua tenra e mimosa filhinha.	e sujeitou a mulata a tão rudes	14	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
177	Levantou ao céu os olhos banhados em lágrimas, e jurou pela alma da infeliz mulata encarregar-se do futuro de Isaura, criá-la e educá-la, como se fosse uma filha.	alma da infeliz mulata encarregar-se do futuro	15	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
185	Era sempre alegre e boa com os escravos, dócil e submissa com os senhores.	boa com os escravos , dócil e	7	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
186	O comendador não gostava nada do singular capricho de sua esposa para com a mulatinha, capricho que qualificava de caduquice.	para com a mulatinha , capricho que	14	mulatinha	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
214	De feito, a boa velha tentou por diversas vezes escrever seu testamento a fim de garantir o futuro de sua escravinha, de sua querida pupila;	futuro de sua escravinha , de sua	21	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
216	Malvina jurou sobre o cadáver de sua sogra continuar para com a infeliz escrava a mesma proteção e solicitude que a defunta lhe havia prodigalizado.	com a infeliz escrava a mesma proteção	13	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
217	Isaura pranteou por muito tempo a morte daquela que havia sido para ela mãe desvelada e carinhosa; e continuou a ser escrava não já de uma boa e virtuosa senhora, mas de senhores caprichosos, devassos e cruéis.	continuou a ser escrava não já de	22	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
217	Isaura pranteou por muito tempo a morte daquela que havia sido para ela mãe desvelada e carinhosa; e continuou a ser escrava não já de uma boa e virtuosa senhora, mas de senhores caprichosos, devassos e cruéis.	boa e virtuosa senhora , mas de	30	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
232	Esta conversação não agradava muito a Henrique, que às vezes corava de pejo e de indignação por sua irmã, mas não deixou de excitar-lhe viva curiosidade de conhecer uma escrava de tão extraordinária beleza.	de conhecer uma escrava de tão extraordinária	31	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
249	Mas devo notar-te, Leôncio, — continuou, cravando no cunhado um olhar cheio de maliciosa penetração, — como teu amigo e como irmão de tua mulher, que o teres em tua sala e ao lado de minha irmã uma escrava tão linda e tão bem tratada não deixa de ser inconveniente e talvez perigoso para a tranqüilidade doméstica...	minha irmã uma escrava tão linda e	43	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
288	Por fim Henrique, afoito, e estouvado como era, lembrando-se que Isaura, a despeito de toda a sua formosura, não passava de uma escrava, entendeu que fazia um ridículo papel, deixando-se ali ficar diante dela em muda e extática contemplação, e chegando-se a ela com todo o desembaraço e petulância travou-lhe da mão, e... — Mulatinha, disse, — tu não fazes idéia de quanto és feiticeira.	passava de uma escrava , entendeu que	27	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
292	— Está bem, senhor, está bem!	Está bem , senhor , está bem	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
299	És muito mimosa e muito linda para ficares por muito tempo no cativeiro; alguém impreterivelmente virá arrancar-te dele, e se hás de cair nas mãos de algum desconhecido, que não saberá dar-te o devido apreço, seja eu, minha Isaura, seja o irmão de tua senhora, que de escrava te haja de fazer uma princesa...	, que de escrava te haja de	54	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
299	És muito mimosa e muito linda para ficares por muito tempo no cativeiro; alguém impreterivelmente virá arrancar-te dele, e se hás de cair nas mãos de algum desconhecido, que não saberá dar-te o devido apreço, seja eu, minha Isaura, seja o irmão de tua senhora, que de escrava te haja de fazer uma princesa...	irmão de tua senhora , que de	50	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
302	retorquiu a menina com enfado; — o senhor não se peja de dirigir esses galanteios a uma escrava de sua irmã?	galanteios a uma escrava de sua irmã	18	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
302	retorquiu a menina com enfado; — o senhor não se peja de dirigir esses galanteios a uma escrava de sua irmã?	; — o senhor não se peja	8	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
303	isso não lhe fica bem; há por aí tanta moça bonita, a quem o senhor pode fazer a corte...	a quem o senhor pode fazer a	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
306	Além da liberdade terás tudo o que desejares, sedas, jóias, carros, escravos para te servirem, e acharás em mim um amante extremoso, que sempre te há de querer, e nunca te trocará por quanta moça há por esse mundo, por bonita e rica que seja, porque tu só vales mais que todas elas juntas.	, carros , escravos para te servirem	15	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
309	Nada, meu senhor; guarde suas grandezas para quem melhor as merecer;	Nada , meu senhor ; guarde suas	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
320	— Se o senhor continua, eu grito mais alto.	— Se o senhor continua , eu	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
328	— Arre lá, senhor! — bradou a escrava já no auge da impaciência.	— bradou a escrava já no auge	9	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
328	— Arre lá, senhor! — bradou a escrava já no auge da impaciência.	Arre lá , senhor ! — bradou	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
329	— Já não bastava o senhor Leôncio! agora vem o senhor também...	não bastava o senhor Leôncio ! agora	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
337	— Não duvido Isaura; a lealdade, que deves a tua senhora, que tanto te estima, não te permite que dês ouvidos àquele perverso.	deves a tua senhora , que tanto	12	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
353	muito bem, senhor meu cunhado!	muito bem , senhor meu cunhado !	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
371	— O mesmo que o senhor acaba de ouvir, — redargüiu Henrique com firmeza, — e fique certo que o seu indigno procedimento não há de ficar por muito tempo oculto à minha irmã.	mesmo que o senhor acaba de ouvir	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
376	enfim, adeus, senhor Leôncio: eu me retiro, porque seria altamente inconveniente, indigno e ridículo da minha parte estar a disputar com o senhor por amor de uma escrava.	, adeus , senhor Leôncio : eu	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
376	enfim, adeus, senhor Leôncio: eu me retiro, porque seria altamente inconveniente, indigno e ridículo da minha parte estar a disputar com o senhor por amor de uma escrava.	disputar com o senhor por amor de	27	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
397	fizeste bem, — disse Leôncio mal avistou Isaura, que trêmula e confusa não ousara sair do cantinho, a que se abrigara, e onde fazia mil votos ao céu para que seu senhor não a visse, nem se lembrasse dela naquele momento.	para que seu senhor não a visse	35	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
400	— Tanto como ouço as suas, meu senhor, por não ter outro remédio.	suas , meu senhor , por não	8	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
404	— respondeu a escrava perturbando-se; — eu, nada que possa ofender nem ao senhor nem a ele...	— respondeu a escrava perturbando-se ; —	3	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
404	— respondeu a escrava perturbando-se; — eu, nada que possa ofender nem ao senhor nem a ele...	ofender nem ao senhor nem a ele	15	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
415	— Perdão, senhor, que culpa tenho eu de andarem a perseguir-me?	— Perdão , senhor , que culpa	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
429	Resolvida a resistir até à morte, lembrava-se da sorte de sua infeliz mãe, cuja triste história bem conhecia, pois a tinha ouvido, segredada a medo e misteriosamente, da boca de alguns velhos escravos da casa, e o futuro se lhe antolhava carregado das mais negras e sinistras cores.	carregado das mais negras e sinistras cores	50	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
429	Resolvida a resistir até à morte, lembrava-se da sorte de sua infeliz mãe, cuja triste história bem conhecia, pois a tinha ouvido, segredada a medo e misteriosamente, da boca de alguns velhos escravos da casa, e o futuro se lhe antolhava carregado das mais negras e sinistras cores.	de alguns velhos escravos da casa ,	37	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
431	Mas Isaura amava muito sua jovem senhora para ousar dar semelhante passo, que iria derramar-lhe no seio um pego de desgostos e amarguras, quebrando-lhe para sempre a risonha e doce ilusão em que vivia.	muito sua jovem senhora para ousar dar	6	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
438	Com quanto mais dó não a teria lastimado sua boa e sensível senhora, se pudesse adivinhar a verdadeira causa dos pesares que o ralavam.	boa e sensível senhora , se pudesse	12	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
447	Isaura teria soltado um grito de pavor, se há muito não estivesse familiarizada com aquela estranha figura, pois era ele, sem mais nem menos, o senhor Belchior, fiel e excelente ilhéu, que há muitos anos exercia naquela fazenda mui digna e conscienciosamente, apesar de sua deformidade e idiotismo, o cargo de jardineiro.	menos , o senhor Belchior , fiel	29	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
462	eu senhora! também o senhor pretende caçoar comigo, senhor Belchior?	! também o senhor pretende caçoar comigo	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
466	Vinha trazer-lhe estas froles, se bem que a senhora mesma é uma frol...	bem que a senhora mesma é uma	9	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
468	sempre a dar-me de senhora! se continua por essa forma, ficamos mal, e não aceito as suas froles...	a dar-me de senhora ! se continua	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
469	Eu sou Isaura, escrava da senhora D. Malvina;	sou Isaura , escrava da senhora D.	4	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
469	Eu sou Isaura, escrava da senhora D. Malvina;	, escrava da senhora D. Malvina ;	6	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
476	Se me quiseres, como eu te quero, arranjote a liberdade, e caso-me contigo, que também não és para andar aí assim como escrava de ninguém.	aí assim como escrava de ninguém .	26	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	gosto em ser escravo de uma escrava	11	escravo	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	escravo de uma escrava como tu ,	14	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
483	mas não importa, Isaura; terei mais gosto em ser escravo de uma escrava como tu, do que em ser senhor dos senhores de cem mil cativos.	que em ser senhor dos senhores de	22	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
539	mas para tratar dessa flor não precisamos de seus cuidados, não; tem entendido, senhor Belchior! —	tem entendido , senhor Belchior ! —	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
596	— Quero dizer-lhe, — exclamou a moça em tom severo, e fazendo vãos esforços para dar ao seu lindo e mavioso semblante um ar feroz, — quero dizer-lhe que o senhor me insulta e me atraiçoa em sua casa, da maneira a mais indigna e desleal... — Santo Deus!	dizer-lhe que o senhor me insulta e	33	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
599	— Debalde, que o senhor se finge surpreendido;	, que o senhor se finge surpreendido	5	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
601	Eu já devia ter pressentido esse seu vergonhoso procedimento; há muito que o senhor não é o mesmo para comigo, e me trata com tal frieza e indiferença...	muito que o senhor não é o	14	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
612	— Não tenho que explicar; o senhor bem me entende.	explicar ; o senhor bem me entende	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
615	— Dê um destino qualquer a essa escrava, a cujos pés o senhor costuma vilmente prostrar-se: liberte-a, venda-a, faça o que quiser.	qualquer a essa escrava , a cujos	7	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
615	— Dê um destino qualquer a essa escrava, a cujos pés o senhor costuma vilmente prostrar-se: liberte-a, venda-a, faça o que quiser.	cujos pés o senhor costuma vilmente prostrar-se	13	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
626	seu pai já lhe entregou escravos e fazenda, e dará por bem feito tudo quanto o senhor fizer.	já lhe entregou escravos e fazenda ,	5	escravos	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
627	Mas se acaso o senhor a prefere a mim... — Malvina!	se acaso o senhor a prefere a	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
640	para impedir que o senhor não transportasse o seu traste de luxo do salão para a alcova, percebe?	impedir que o senhor não transportasse o	4	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
666	é com V. S. que tenho de tratar na falta do senhor seu pai.	na falta do senhor seu pai .	11	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
667	O meu negócio é simples, e julgo que o posso declarar em presença aqui do senhor e da senhora, que me parecem ser pessoas de casa.	senhor e da senhora , que me	19	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
667	O meu negócio é simples, e julgo que o posso declarar em presença aqui do senhor e da senhora, que me parecem ser pessoas de casa.	presença aqui do senhor e da senhora	16	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	liberdade de uma escrava desta casa por	55	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	que vim , senhor meu , —	7	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
670	— Eis aqui ao que vim, senhor meu, — disse Miguel, tirando da algibeira de seu largo sobretudo uma carteira, que apresentou a Leôncio; — faça o favor de abrir esta carteira; aqui encontrará V. S. a quantia exigida pelo senhor seu pai, para a liberdade de uma escrava desta casa por nome Isaura.	quantia exigida pelo senhor seu pai ,	46	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
672	— Pelo que vejo, — disse por fim, — o senhor deve ser o pai...	, — o senhor deve ser o	12	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
675	— não me lembra o nome.. — Miguel, um criado de V. S.a — É verdade; o senhor Miguel.	Miguel , um criado de V. S.a	11	criado	criado	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
686	Miguel concebeu amargo ressentimento e mágoa profunda, não tanto por si, como por amor das duas infelizes criaturas, que não podia proteger contra a sanha de um senhor perverso e brutal.	sanha de um senhor perverso e brutal	30	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
693	De feito o céu tinha dado à sua filha na pessoa de sua senhora uma segunda mãe tão boa e desvelada, como poderia ser a primeira, e que mais do que esta lhe podia servir de amparo e proteção.	pessoa de sua senhora uma segunda mãe	13	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
694	A morte inesperada daquela virtuosa senhora veio despedaçar-lhe o coração, quebrando-lhe todas as suas lisonjeiras esperanças.	inesperada daquela virtuosa senhora veio despedaçar-lhe o	5	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
698	há de ser sempre minha, — respondia com orgulhoso cinismo o inexorável senhor ao infeliz e aflito pai.	cinismo o inexorável senhor ao infeliz e	13	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
722	— Embora, senhor; tenha a bondade de guardar esse dinheiro e enviá-lo ao senhor seu pai, rogando-lhe da minha parte o favor de cumprir a promessa que me fez de dar liberdade a Isaura mediante essa quantia.	— Embora , senhor ; tenha a	3	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
722	— Embora, senhor; tenha a bondade de guardar esse dinheiro e enviá-lo ao senhor seu pai, rogando-lhe da minha parte o favor de cumprir a promessa que me fez de dar liberdade a Isaura mediante essa quantia.	e enviá-lo ao senhor seu pai ,	15	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
784	Na fazenda de Leôncio havia um grande salão toscamente construído, sem forro nem soalho, destinado ao trabalho das escravas que se ocupavam em fiar e tecer lã e algodão.	ao trabalho das escravas que se ocupavam	20	escravas	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	vinte a trinta negras , crioulas e	5	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	trinta negras , crioulas e mulatas ,	7	crioulas	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
787	Eram de vinte a trinta negras, crioulas e mulatas, com suas tenras crias ao colo ou pelo chão a brincarem em redor delas.	, crioulas e mulatas , com suas	9	mulatas	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
789	Viam-se ali caras de todas as idades, cores e feitios, desde a velha africana, trombuda e macilenta, até à roliça e luzidia crioula, desde a negra brunida como azeviche até à mulata quase branca.	, desde a negra brunida como azeviche	30	negra	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
789	Viam-se ali caras de todas as idades, cores e feitios, desde a velha africana, trombuda e macilenta, até à roliça e luzidia crioula, desde a negra brunida como azeviche até à mulata quase branca.	roliça e luzidia crioula , desde a	26	crioula	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
789	Viam-se ali caras de todas as idades, cores e feitios, desde a velha africana, trombuda e macilenta, até à roliça e luzidia crioula, desde a negra brunida como azeviche até à mulata quase branca.	azeviche até à mulata quase branca .	36	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
793	Os cabelos negros e anelados podiam estar bem na cabeça da mais branca fidalga de além-mar.	cabeça da mais branca fidalga de além-mar	12	branca	branco	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
799	— Minhas camaradas, — dizia a suas vizinhas uma crioula idosa, matreira e sabida em todos os mistérios da casa desde os tempos dos senhores velhos, — agora que sinhô velho morreu, e que sinhá Malvina foi-se embora para a casa de seu pai dela, é que nós vamos ver o que é rigor de cativeiro.	suas vizinhas uma crioula idosa , matreira	10	crioula	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
814	— Também, a dizer a verdade, não sei o que será melhor, — observou outra escrava, — se estar na roça trabalhando de enxada, ou aqui pregada na roda, desde que amanhece até nove, dez horas da noite.	— observou outra escrava , — se	18	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
822	— ponderou a velha crioula — tudo é cativeiro.	ponderou a velha crioula — tudo é	4	crioula	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
823	Quem teve a desgraça de nascer cativo de um mau senhor, dê por aqui, dê por acolá, há de penar sempre.	de um mau senhor , dê por	10	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
840	Juliana era uma mulata bonita e sacudida;	Juliana era uma mulata bonita e sacudida	3	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
870	murmurou enfadada a velha crioula, relanceando um olhar de repreensão sobre a mulata.	enfadada a velha crioula , relanceando um	4	crioula	crioulo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
871	— Que mal te fez a pobre Isaura, aquela pomba sem fel, que com ser o que e, bonita e civilizada como qualquer moça branca, não é capaz de fazer pouco caso de ninguém?	como qualquer moça branca , não é	27	branca	branco	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
877	Um homem espadaúdo e quadrado, de barba espessa e negra, de fisionomia dura e repulsiva, apresenta-se à porta do salão, e vai entrando.	barba espessa e negra , de fisionomia	10	negra	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
896	Cônscia de sua condição, Isaura procurava ser humilde como qualquer outra escrava, porque a despeito de sua rara beleza e dos dotes de seu espírito, os fumos da vaidade não lhe intumesciam o coração, nem turvavam-lhe a luz de seu natural bom senso.	como qualquer outra escrava , porque a	12	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
898	Ninguém diria que era uma escrava, que trabalhava entre as companheiras, e a tomaria antes por uma senhora moça, que, por desenfado, fiava entre as escravas.	que era uma escrava , que trabalhava	5	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
898	Ninguém diria que era uma escrava, que trabalhava entre as companheiras, e a tomaria antes por uma senhora moça, que, por desenfado, fiava entre as escravas.	antes por uma senhora moça , que	19	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
906	A gentil mulatinha sentiu-se cruelmente ferida em seu coração com esse desdém, e como era maligna e vingativa, não podendo vingar-se de seu senhor, jurou descarregar todo o peso de seu rancor sobre a pessoa de sua infeliz rival.	vingar-se de seu senhor , jurou descarregar	25	senhor	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
